date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:05	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-c23da8a3a2d0df24;gz%22	https://kpbsupportssolutions.com/robots.txt		(from )
08:04:06	23903/23903	---M-Z	200	added ('OK')	text/html	etag:%225d5f-67b8b802-2647996deeb702de;gz%22	https://kpbsupportssolutions.com/	C:/KPB/KPB/kpbsupportssolutions.com/index.html	(from )
08:04:06	21780/21780	---M-Z	200	added ('OK')	text/css	etag:%225514-67b8ab8c-bcd4afcca8c25f5c;gz%22	https://kpbsupportssolutions.com/style.css	C:/KPB/KPB/kpbsupportssolutions.com/style.css	(from https://kpbsupportssolutions.com/)
08:04:06	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/KPB/KPB/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://kpbsupportssolutions.com/)
08:04:06	994/994	---M-Z	200	added ('OK')	text/css	etag:%223e2-67b8b6a6-cf0b418da602dc21;gz%22	https://kpbsupportssolutions.com/dropdown_navbar.css	C:/KPB/KPB/kpbsupportssolutions.com/dropdown_navbar.css	(from https://kpbsupportssolutions.com/)
08:04:07	3791/3791	---M-Z	200	added ('OK')	text/css	etag:%22ecf-67b8b69e-4f5c9d69b01520ed;gz%22	https://kpbsupportssolutions.com/navigation_bar.css	C:/KPB/KPB/kpbsupportssolutions.com/navigation_bar.css	(from https://kpbsupportssolutions.com/)
08:04:07	52873/52873	---M--	200	added ('OK')	image/png	etag:%22ce89-67b8ab8c-931a4695fc989d02;;;%22	https://kpbsupportssolutions.com/logo/logo.png	C:/KPB/KPB/kpbsupportssolutions.com/logo/logo.png	(from https://kpbsupportssolutions.com/)
08:04:07	3518/3518	---M-Z	200	added ('OK')	text/html	etag:%22dbe-67b8ab8c-23c9decced14dcc7;gz%22	https://kpbsupportssolutions.com/product.html	C:/KPB/KPB/kpbsupportssolutions.com/product.html	(from https://kpbsupportssolutions.com/)
08:04:07	4613/4613	---M-Z	200	added ('OK')	text/html	etag:%221205-67b8ab8c-a5705698fc3a2634;gz%22	https://kpbsupportssolutions.com/pricing.html	C:/KPB/KPB/kpbsupportssolutions.com/pricing.html	(from https://kpbsupportssolutions.com/)
08:04:07	13847/13847	---M-Z	200	added ('OK')	text/html	etag:%223617-67b8ab8c-dd8c03229cef9177;gz%22	https://kpbsupportssolutions.com/resources.html	C:/KPB/KPB/kpbsupportssolutions.com/resources.html	(from https://kpbsupportssolutions.com/)
08:04:08	23194/23194	---M-Z	200	added ('OK')	text/html	etag:%225a9a-67b8ab8c-6b3f48d9937c9815;gz%22	https://kpbsupportssolutions.com/about.html	C:/KPB/KPB/kpbsupportssolutions.com/about.html	(from https://kpbsupportssolutions.com/)
08:04:08	6323/6323	---M-Z	200	added ('OK')	text/html	etag:%2218b3-67b8ab8c-722499ab12d098db;gz%22	https://kpbsupportssolutions.com/awards.html	C:/KPB/KPB/kpbsupportssolutions.com/awards.html	(from https://kpbsupportssolutions.com/)
08:04:08	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-c23da8a3a2d0df24;gz%22	https://kpbsupportssolutions.com/certifications.html	C:/KPB/KPB/kpbsupportssolutions.com/certifications.html	(from https://kpbsupportssolutions.com/)
08:04:08	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-c23da8a3a2d0df24;gz%22	https://kpbsupportssolutions.com/blogs.html	C:/KPB/KPB/kpbsupportssolutions.com/blogs.html	(from https://kpbsupportssolutions.com/)
08:04:09	14029/14029	---M-Z	200	added ('OK')	text/html	etag:%2236cd-67b8ab8c-3a2df462d99dbb23;gz%22	https://kpbsupportssolutions.com/contact.html	C:/KPB/KPB/kpbsupportssolutions.com/contact.html	(from https://kpbsupportssolutions.com/)
08:04:09	7973/7973	---M-Z	200	added ('OK')	text/html	etag:%221f25-67b8ab8c-c97706dc5028f695;gz%22	https://kpbsupportssolutions.com/industries/bpm.html	C:/KPB/KPB/kpbsupportssolutions.com/industries/bpm.html	(from https://kpbsupportssolutions.com/)
08:04:09	4707/4707	---M-Z	200	added ('OK')	text/html	etag:%221263-67b8ab8c-d4135f2aecc34d;gz%22	https://kpbsupportssolutions.com/industries/itservices.html	C:/KPB/KPB/kpbsupportssolutions.com/industries/itservices.html	(from https://kpbsupportssolutions.com/)
08:04:09	7693/7693	---M-Z	200	added ('OK')	text/html	etag:%221e0d-67b8ab8c-97468d3345778a1;gz%22	https://kpbsupportssolutions.com/industries/technology.html	C:/KPB/KPB/kpbsupportssolutions.com/industries/technology.html	(from https://kpbsupportssolutions.com/)
08:04:10	7316/7316	---M-Z	200	added ('OK')	text/html	etag:%221c94-67b8ab8c-da4d4d9d9662239f;gz%22	https://kpbsupportssolutions.com/industries/bfsi.html	C:/KPB/KPB/kpbsupportssolutions.com/industries/bfsi.html	(from https://kpbsupportssolutions.com/)
08:04:10	5754/5754	---M-Z	200	added ('OK')	text/html	etag:%22167a-67b8ab8c-ea7cb201231806c1;gz%22	https://kpbsupportssolutions.com/industries/education.html	C:/KPB/KPB/kpbsupportssolutions.com/industries/education.html	(from https://kpbsupportssolutions.com/)
08:04:10	1787/1787	---M-Z	200	added ('OK')	application/x-javascript	etag:%226fb-67b8ab8c-39d26f4c2ab1b323;gz%22	https://kpbsupportssolutions.com/search_func.js	C:/KPB/KPB/kpbsupportssolutions.com/search_func.js	(from https://kpbsupportssolutions.com/)
